source_id,source_name,title,content,publishedAt
,Xataka.com,Tim Cook acaba de marcar otra pauta de su legado: ahora los MacBook Pro tampoco traen cargador en algunos países,"Si estás pensando en hacerte con el nuevo MacBook Pro con chip M5 que Apple acaba de presentar, conviene revisar con calma qué trae exactamente la caja. Según el país en el que vivas, el portátil pue… [+4225 chars]",2025-10-15T17:29:14Z
,Xataka.com,"El nuevo Apple M5 es un chip monstruoso en potencia, pero la sorpresa es dónde da el verdadero salto: en ejecución de modelos de IA","Estaba ""cantado"" que Apple presentaría más temprano que tarde su nuevo Apple M5, y ya lo tenemos con nosotros. El chip representa un salto cualitativo notable a juzgar por su hoja de especificaciones… [+4084 chars]",2025-10-15T13:45:16Z
,Xataka.com,Las Vision Pro con M5 demuestran algo: Apple lleva dos años sin saber qué hacer con ellas,"Cuando analicé las Vision Pro hace más de un año, escribí que eran ""un potencial increíble en un producto imperfecto"". Hoy Apple ha presentado las Vision Pro con el nuevo chip M5 y la sensación es la… [+2666 chars]",2025-10-15T15:46:37Z
,Xataka.com,Apple Vision Pro (2025): el chip M5 da más margen de maniobra. Lo malo es que lo que realmente necesitan estas gafas es contenido,"Apple acaba de anunciar el lanzamiento de las nuevas Vision Pro (2025), y en ellas hay un absoluto protagonista. Ahora estas gafas de realidad mixta están basadas en el potente chip Apple M5, que tam… [+4504 chars]",2025-10-15T14:21:00Z
,Xataka.com,El MacBook Pro se actualiza con el nuevo chip M5 y Apple lo prepara para algo que empieza a ser común: tener una IA en local,"Sin eventos y prácticamente de sorpresa, Apple ha presentado oficialmente el nuevo MacBook Pro de 14 pulgadas con chip M5, una actualización que promete mejoras significativas tanto en rendimiento, c… [+4071 chars]",2025-10-15T14:38:37Z
,Xataka.com,iPad Pro 2025 (M5): la frontera entre tablet y portátil nunca había estado tan borrosa (aunque aún hay diferencias que pesan),"El nuevo iPad Pro llega con el chip M5, el procesador más potente que Apple ha presentado hasta ahora y el mismo que impulsa los nuevos MacBook Pro. La compañía lleva tiempo acercando su tablet más a… [+8319 chars]",2025-10-15T15:15:00Z
,Xataka.com,"iPhone desde 289 euros en PcComponentes Replay, una sección de reacondicionados con dos años de garantía","Muchas tiendas, además de vender sus propios productos o los de otras marcas, tienen su propia sección de reacondicionados. Lo vemos en El Corte Inglés, en Amazon (junto con productos de segunda mano… [+3930 chars]",2025-10-15T08:30:37Z
,Xataka.com,Mejores televisores y dispositivos de sonido: vota en los Premios Xataka NordVPN 2025,"Ronda dos. Si justo ayer lanzábamos las votaciones a ""Mejor smartwatch"" y ""Mejor tablet"", ahora llega el momento de votar por los mejores televisores y equipo de sonido. Este año, además, tenemos una… [+3109 chars]",2025-10-15T10:00:38Z
,Daringfireball.net,"★ The Just Plain M5 Chip Launches in Three Updated Products: 14-Inch MacBook Pro, iPad Pro (Both Sizes), and Some Sort of Headset Thingamajig Called Vision Pro","Apple Newsroom, today:


 Apple today announced M5, delivering the next big leap in AI
performance and advances to nearly every aspect of the chip. Built
using third-generation 3-nanometer technology… [+7498 chars]",2025-10-15T21:04:41Z
,Gizmodo.com,Looks Like Apple Can’t Quite Figure Out AI Gadgets Either,"It’s been a bad month for AI gadgets, and that’s saying a lot. As if public opinion wasn’t already in the gutter after the collective letdown of Humane and its now-defunct Ai Pin, as well as its less… [+3324 chars]",2025-10-15T19:17:42Z
